date              numeric-release   total-contributor-number  china-contributor-number  china-contributor-percent total-patch-number        china-patch-number        china-patch-percent
2022-10-02	v6.0	2059	557	27.05	15402	2715	17.63
2022-12-11	v6.1	2067	578	27.96	13942	3227	23.15
2023-02-19	v6.2	2105	549	26.08	15536	2516	16.19
2023-04-23	v6.3	1978	456	23.05	14424	1849	12.82
2023-06-25	v6.4	1992	491	24.65	14835	1909	12.87
2023-08-27	v6.5	1934	481	24.87	13561	1975	14.56
2023-10-29	v6.6	1989	505	25.39	14069	2970	21.11
2024-01-07	v6.7	1985	493	24.84	17284	2305	13.34
2024-03-10	v6.8	1950	451	23.13	14405	1822	12.65
2024-05-12	v6.9	2035	460	22.6	14480	1961	13.54
2024-07-14	v6.10	1927	438	22.73	13312	1834	13.78
2024-09-15	v6.11	1982	428	21.59	13890	2141	15.41
2024-11-17	v6.12	2086	504	24.16	13344	2540	19.03
2025-01-19	v6.13	2020	508	25.15	12982	2030	15.64
2025-03-24	v6.14	1912	444	23.22	11003	1553	14.11
2025-05-25	v6.15	2081	470	22.59	14612	2045	14.0
2025-07-27	v6.16	2068	483	23.36	14639	2053	14.02
2025-09-28	v6.17	2044	505	24.71	13089	1848	14.12
